Hunt County,,,,,,
"November 8, 2022",,,,,,
General Election,,,,,,
318,423,"Justice, Supreme Court, Place 5",Rebeca Huddle,357,153,193
318,423,"Justice, Supreme Court, Place 5",Amanda Reichek,58,38,19
318,423,"Justice, Supreme Court, Place 9",Evan Young,356,152,193
318,423,"Justice, Supreme Court, Place 9",Julia Maldonado,58,38,19
318,423,"Judge, Court of Criminal Appeals Place 5",Scott Walker,360,153,196
318,423,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,58,39,18
318,423,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",360,154,195
318,423,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,58,38,19
318,423,"Member, State Board of Education, Disrict 12",Pam Little,349,150,188
318,423,"Member, State Board of Education, Disrict 12",Alex Cornwallis,54,35,18
318,423,"Member, State Board of Education, Disrict 12",Christy Mowrey,9,4,5
318,423,"Member, State Board of Education, Disrict 12",Rosiland Davis,1,0,1
318,423,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
318,423,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
318,423,"State Senator, District 8",Angela Paxton,356,152,193
318,423,"State Senator, District 8",Jonathan Cocks,51,35,15
318,423,"State Senator, District 8",Edward Kless,9,2,7
318,423,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,360,155,194
318,423,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,53,34,18
318,423,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,356,153,192
318,423,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,55,35,19
318,423,"Hunt County, Proposition A",FOR,362,162,190
318,423,"Hunt County, Proposition A",AGAINST,31,21,10
318 - SGR,11,"United States Representative, District 3",Keith Self,11,9,0
318 - SGR,11,"United States Representative, District 3",Sandeep Srivastava,0,0,0
318 - SGR,11,"United States Representative, District 3",Christopher Claytor,0,0,0
318 - SGR,11,Governor,Greg Abbott,11,9,0
318 - SGR,11,Governor,Beto O'Rourke,0,0,0
318 - SGR,11,Governor,Mark Tippetts,0,0,0
318 - SGR,11,Governor,Delilah Barrios,0,0,0
318 - SGR,11,Governor,Jacqueline Abernathy,0,0,0
318 - SGR,11,Governor,Mark V. Goloby,0,0,0
318 - SGR,11,Governor,Rejected write-ins,0,0,0
318 - SGR,11,Governor,Unassigned write-ins,0,0,0
318 - SGR,11,Lieutenant Governor,Dan Patrick,11,9,0
318 - SGR,11,Lieutenant Governor,Mike Collier,0,0,0
318 - SGR,11,Lieutenant Governor,Shanna Steele,0,0,0
318 - SGR,11,Attorney General,Ken Paxton,10,8,0
318 - SGR,11,Attorney General,Rochelle Mercedes Garza,0,0,0
318 - SGR,11,Attorney General,Mark Ash,1,1,0
318 - SGR,11,Comptroller of Public Accounts,Glenn Hegar,11,9,0
318 - SGR,11,Comptroller of Public Accounts,Janet T. Dudding,0,0,0
318 - SGR,11,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,0,0,0
318 - SGR,11,Commissioner of the General Land Office,Dawn Buckingham,10,8,0
318 - SGR,11,Commissioner of the General Land Office,Jay Kleberg,0,0,0
318 - SGR,11,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0
318 - SGR,11,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
318 - SGR,11,Commissioner of the General Land Office,Rejected write-ins,0,0,0
318 - SGR,11,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
318 - SGR,11,Commissioner of Agriculture,Sid Miller,10,8,0
318 - SGR,11,Commissioner of Agriculture,Susan Hays,0,0,0
318 - SGR,11,Railroad Commissioner,Wayne Christian,10,8,0
318 - SGR,11,Railroad Commissioner,Luke Warford,0,0,0
318 - SGR,11,Railroad Commissioner,Jaime Andres Diez,0,0,0
318 - SGR,11,Railroad Commissioner,Hunter Wayne Crow,0,0,0
318 - SGR,11,"Justice, Supreme Court, Place 3",Debra Lehrmann,10,8,0
318 - SGR,11,"Justice, Supreme Court, Place 3",Erin A. Nowell,0,0,0
318 - SGR,11,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,0,0,0
318 - SGR,11,"Justice, Supreme Court, Place 5",Rebeca Huddle,10,8,0
318 - SGR,11,"Justice, Supreme Court, Place 5",Amanda Reichek,0,0,0
318 - SGR,11,"Justice, Supreme Court, Place 9",Evan Young,10,8,0
318 - SGR,11,"Justice, Supreme Court, Place 9",Julia Maldonado,0,0,0
318 - SGR,11,"Judge, Court of Criminal Appeals Place 5",Scott Walker,10,8,0
318 - SGR,11,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,0,0,0
318 - SGR,11,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",10,8,0
318 - SGR,11,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,0,0,0
318 - SGR,11,"Member, State Board of Education, Disrict 12",Pam Little,10,8,0
318 - SGR,11,"Member, State Board of Education, Disrict 12",Alex Cornwallis,0,0,0
318 - SGR,11,"Member, State Board of Education, Disrict 12",Christy Mowrey,0,0,0
318 - SGR,11,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
318 - SGR,11,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
318 - SGR,11,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
318 - SGR,11,"State Senator, District 8",Angela Paxton,11,9,0
318 - SGR,11,"State Senator, District 8",Jonathan Cocks,0,0,0
318 - SGR,11,"State Senator, District 8",Edward Kless,0,0,0
318 - SGR,11,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,10,8,0
318 - SGR,11,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,0,0,0
318 - SGR,11,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,10,8,0
318 - SGR,11,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,0,0,0
318 - SGR,11,"Hunt County, Proposition A",FOR,8,6,0
318 - SGR,11,"Hunt County, Proposition A",AGAINST,2,2,0
318 - SGR,11,"GREENVILLE ISD, PROPOSITION A",FOR,2,2,0
318 - SGR,11,"GREENVILLE ISD, PROPOSITION A",AGAINST,8,6,0
319,1116,"United States Representative, District 3",Keith Self,950,310,606
319,1116,"United States Representative, District 3",Sandeep Srivastava,129,55,66
319,1116,"United States Representative, District 3",Christopher Claytor,19,9,10
319,1116,Governor,Greg Abbott,958,315,609
319,1116,Governor,Beto O'Rourke,138,61,68
319,1116,Governor,Mark Tippetts,10,4,6
319,1116,Governor,Delilah Barrios,4,2,2
319,1116,Governor,Jacqueline Abernathy,0,0,0
319,1116,Governor,Mark V. Goloby,0,0,0
319,1116,Governor,Rejected write-ins,0,0,0
319,1116,Governor,Unassigned write-ins,0,0,0
319,1116,Lieutenant Governor,Dan Patrick,928,308,588
319,1116,Lieutenant Governor,Mike Collier,155,63,82
319,1116,Lieutenant Governor,Shanna Steele,28,12,15
319,1116,Attorney General,Ken Paxton,935,310,592
319,1116,Attorney General,Rochelle Mercedes Garza,134,58,67
319,1116,Attorney General,Mark Ash,35,13,21
319,1116,Comptroller of Public Accounts,Glenn Hegar,949,314,601
319,1116,Comptroller of Public Accounts,Janet T. Dudding,137,60,68
319,1116,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,15,6,9
319,1116,Commissioner of the General Land Office,Dawn Buckingham,953,319,602
319,1116,Commissioner of the General Land Office,Jay Kleberg,134,58,66
319,1116,Commissioner of the General Land Office,"Alfred Molison, Jr.",9,4,5
319,1116,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
319,1116,Commissioner of the General Land Office,Rejected write-ins,1,0,1
319,1116,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
319,1116,Commissioner of Agriculture,Sid Miller,951,316,602
319,1116,Commissioner of Agriculture,Susan Hays,146,64,73
319,1116,Railroad Commissioner,Wayne Christian,943,315,595
319,1116,Railroad Commissioner,Luke Warford,123,55,59
319,1116,Railroad Commissioner,Jaime Andres Diez,16,7,9
319,1116,Railroad Commissioner,Hunter Wayne Crow,12,2,10
319,1116,"Justice, Supreme Court, Place 3",Debra Lehrmann,948,314,601
319,1116,"Justice, Supreme Court, Place 3",Erin A. Nowell,132,57,66
319,1116,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,19,7,12
319,1116,"Justice, Supreme Court, Place 5",Rebeca Huddle,953,314,606
319,1116,"Justice, Supreme Court, Place 5",Amanda Reichek,141,62,70
319,1116,"Justice, Supreme Court, Place 9",Evan Young,950,316,602
319,1116,"Justice, Supreme Court, Place 9",Julia Maldonado,133,59,65
319,1116,"Judge, Court of Criminal Appeals Place 5",Scott Walker,943,308,602
319,1116,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,145,62,74
319,1116,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",951,311,607
319,1116,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,136,58,69
319,1116,"Member, State Board of Education, Disrict 12",Pam Little,925,300,592
319,1116,"Member, State Board of Education, Disrict 12",Alex Cornwallis,126,56,61
319,1116,"Member, State Board of Education, Disrict 12",Christy Mowrey,28,9,19
319,1116,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
319,1116,"Member, State Board of Education, Disrict 12",Rejected write-ins,2,1,1
319,1116,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
319,1116,"State Senator, District 8",Angela Paxton,917,296,588
319,1116,"State Senator, District 8",Jonathan Cocks,142,60,73
319,1116,"State Senator, District 8",Edward Kless,25,11,14
319,1116,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,940,308,599
319,1116,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,140,62,69
319,1116,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,941,309,600
319,1116,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,139,61,68
319,1116,"Hunt County, Proposition A",FOR,992,333,619
319,1116,"Hunt County, Proposition A",AGAINST,73,28,44
320 - CWT SQL,475,"United States Representative, District 4",Pat Fallon,386,92,286
320 - CWT SQL,475,"United States Representative, District 4",Iro Omere,66,18,43
320 - CWT SQL,475,"United States Representative, District 4",John Simmons,11,2,9
320 - CWT SQL,475,Governor,Greg Abbott,397,96,291
320 - CWT SQL,475,Governor,Beto O'Rourke,72,19,49
320 - CWT SQL,475,Governor,Mark Tippetts,5,0,5
320 - CWT SQL,475,Governor,Delilah Barrios,0,0,0
320 - CWT SQL,475,Governor,Jacqueline Abernathy,0,0,0
320 - CWT SQL,475,Governor,Mark V. Goloby,0,0,0
320 - CWT SQL,475,Governor,Rejected write-ins,0,0,0
320 - CWT SQL,475,Governor,Unassigned write-ins,0,0,0
320 - CWT SQL,475,Lieutenant Governor,Dan Patrick,374,93,272
320 - CWT SQL,475,Lieutenant Governor,Mike Collier,78,19,55
320 - CWT SQL,475,Lieutenant Governor,Shanna Steele,15,3,11
320 - CWT SQL,475,Attorney General,Ken Paxton,381,92,281
320 - CWT SQL,475,Attorney General,Rochelle Mercedes Garza,72,20,47
320 - CWT SQL,475,Attorney General,Mark Ash,17,3,13
320 - CWT SQL,475,Comptroller of Public Accounts,Glenn Hegar,384,91,284
320 - CWT SQL,475,Comptroller of Public Accounts,Janet T. Dudding,67,19,44
320 - CWT SQL,475,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,12,3,9
320 - CWT SQL,475,Commissioner of the General Land Office,Dawn Buckingham,391,95,287
320 - CWT SQL,475,Commissioner of the General Land Office,Jay Kleberg,69,19,46
320 - CWT SQL,475,Commissioner of the General Land Office,"Alfred Molison, Jr.",2,0,2
320 - CWT SQL,475,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
320 - CWT SQL,475,Commissioner of the General Land Office,Rejected write-ins,0,0,0
320 - CWT SQL,475,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
320 - CWT SQL,475,Commissioner of Agriculture,Sid Miller,387,95,283
320 - CWT SQL,475,Commissioner of Agriculture,Susan Hays,77,19,54
320 - CWT SQL,475,Railroad Commissioner,Wayne Christian,376,91,276
320 - CWT SQL,475,Railroad Commissioner,Luke Warford,68,20,44
320 - CWT SQL,475,Railroad Commissioner,Jaime Andres Diez,13,3,10
320 - CWT SQL,475,Railroad Commissioner,Hunter Wayne Crow,5,0,5
320 - CWT SQL,475,"Justice, Supreme Court, Place 3",Debra Lehrmann,384,92,283
320 - CWT SQL,475,"Justice, Supreme Court, Place 3",Erin A. Nowell,68,18,46
320 - CWT SQL,475,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,12,3,9
320 - CWT SQL,475,"Justice, Supreme Court, Place 5",Rebeca Huddle,397,95,293
320 - CWT SQL,475,"Justice, Supreme Court, Place 5",Amanda Reichek,67,18,45
320 - CWT SQL,475,"Justice, Supreme Court, Place 9",Evan Young,389,95,285
320 - CWT SQL,475,"Justice, Supreme Court, Place 9",Julia Maldonado,73,18,51
320 - CWT SQL,475,"Judge, Court of Criminal Appeals Place 5",Scott Walker,384,93,282
320 - CWT SQL,475,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,77,20,53
320 - CWT SQL,475,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",385,94,282
320 - CWT SQL,475,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,71,18,49
320 - CWT SQL,475,"Member, State Board of Education, Disrict 12",Pam Little,379,92,278
320 - CWT SQL,475,"Member, State Board of Education, Disrict 12",Alex Cornwallis,66,17,45
320 - CWT SQL,475,"Member, State Board of Education, Disrict 12",Christy Mowrey,15,4,11
320 - CWT SQL,475,"Member, State Board of Education, Disrict 12",Rosiland Davis,1,0,1
320 - CWT SQL,475,"Member, State Board of Education, Disrict 12",Rejected write-ins,1,0,1
320 - CWT SQL,475,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
320 - CWT SQL,475,"State Senator, District 8",Angela Paxton,373,92,275
320 - CWT SQL,475,"State Senator, District 8",Jonathan Cocks,71,18,48
320 - CWT SQL,475,"State Senator, District 8",Edward Kless,17,2,13
320 - CWT SQL,475,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,388,94,285
320 - CWT SQL,475,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,68,16,49
320 - CWT SQL,475,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,386,92,285
320 - CWT SQL,475,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,68,17,47
320 - CWT SQL,475,"Mayor, City of West Tawakoni",Jim Turnipseed,184,54,117
320 - CWT SQL,475,"Mayor, City of West Tawakoni",Pam Reed,136,39,97
320 - CWT SQL,475,"Mayor, City of West Tawakoni",Rejected write-ins,23,3,20
320 - CWT SQL,475,"Mayor, City of West Tawakoni",Unassigned write-ins,0,0,0
320 - CWT SQL,475,"City Council, City of West Tawakoni, Place 2",Leon Myers,152,39,106
320 - CWT SQL,475,"City Council, City of West Tawakoni, Place 2",Ward Hansen,100,28,69
320 - CWT SQL,475,"City Council, City of West Tawakoni, Place 2",Rejected write-ins,41,11,29
320 - CWT SQL,475,"City Council, City of West Tawakoni, Place 2",Unassigned write-ins,0,0,0
320 - CWT SQL,475,"City Council, City of West Tawakoni, Place 4",Jacq O'Connell,92,29,60
320 - CWT SQL,475,"City Council, City of West Tawakoni, Place 4",Lana Massey,68,18,41
320 - CWT SQL,475,"City Council, City of West Tawakoni, Place 4",Robin L. Myers,102,27,75
320 - CWT SQL,475,"City Council, City of West Tawakoni, Place 4",Rejected write-ins,31,8,23
320 - CWT SQL,475,"City Council, City of West Tawakoni, Place 4",Unassigned write-ins,0,0,0
320 - CWT SQL,475,"Hunt County, Proposition A",FOR,400,99,289
320 - CWT SQL,475,"Hunt County, Proposition A",AGAINST,42,7,35
320 - CWT SQL,475,"Quinlan Independent School District, Proposition A",FOR,178,53,124
320 - CWT SQL,475,"Quinlan Independent School District, Proposition A",AGAINST,263,54,198
320 - SQL,614,"United States Representative, District 4",Pat Fallon,481,124,340
320 - SQL,614,"United States Representative, District 4",Iro Omere,113,38,71
320 - SQL,614,"United States Representative, District 4",John Simmons,14,4,10
320 - SQL,614,Governor,Greg Abbott,483,126,340
320 - SQL,614,Governor,Beto O'Rourke,120,38,78
320 - SQL,614,Governor,Mark Tippetts,8,3,5
320 - SQL,614,Governor,Delilah Barrios,1,0,0
320 - SQL,614,Governor,Jacqueline Abernathy,0,0,0
320 - SQL,614,Governor,Mark V. Goloby,0,0,0
320 - SQL,614,Governor,Rejected write-ins,1,0,1
320 - SQL,614,Governor,Unassigned write-ins,0,0,0
320 - SQL,614,Lieutenant Governor,Dan Patrick,475,121,338
320 - SQL,614,Lieutenant Governor,Mike Collier,123,41,77
320 - SQL,614,Lieutenant Governor,Shanna Steele,16,5,10
320 - SQL,614,Attorney General,Ken Paxton,471,119,335
320 - SQL,614,Attorney General,Rochelle Mercedes Garza,121,41,75
320 - SQL,614,Attorney General,Mark Ash,20,6,14
320 - SQL,614,Comptroller of Public Accounts,Glenn Hegar,491,130,345
320 - SQL,614,Comptroller of Public Accounts,Janet T. Dudding,108,36,67
320 - SQL,614,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,7,1,6
320 - SQL,614,Commissioner of the General Land Office,Dawn Buckingham,488,127,345
320 - SQL,614,Commissioner of the General Land Office,Jay Kleberg,116,38,74
320 - SQL,614,Commissioner of the General Land Office,"Alfred Molison, Jr.",4,2,2
320 - SQL,614,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
320 - SQL,614,Commissioner of the General Land Office,Rejected write-ins,0,0,0
320 - SQL,614,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
320 - SQL,614,Commissioner of Agriculture,Sid Miller,480,123,342
320 - SQL,614,Commissioner of Agriculture,Susan Hays,122,40,77
320 - SQL,614,Railroad Commissioner,Wayne Christian,480,125,340
320 - SQL,614,Railroad Commissioner,Luke Warford,112,37,71
320 - SQL,614,Railroad Commissioner,Jaime Andres Diez,6,2,4
320 - SQL,614,Railroad Commissioner,Hunter Wayne Crow,7,2,4
320 - SQL,614,"Justice, Supreme Court, Place 3",Debra Lehrmann,484,129,339
320 - SQL,614,"Justice, Supreme Court, Place 3",Erin A. Nowell,112,35,73
320 - SQL,614,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,12,3,9
320 - SQL,614,"Justice, Supreme Court, Place 5",Rebeca Huddle,486,127,344
320 - SQL,614,"Justice, Supreme Court, Place 5",Amanda Reichek,117,38,74
320 - SQL,614,"Justice, Supreme Court, Place 9",Evan Young,489,127,346
320 - SQL,614,"Justice, Supreme Court, Place 9",Julia Maldonado,117,39,74
320 - SQL,614,"Judge, Court of Criminal Appeals Place 5",Scott Walker,480,128,337
320 - SQL,614,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,122,37,80
320 - SQL,614,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",479,125,338
320 - SQL,614,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,121,38,79
320 - SQL,614,"Member, State Board of Education, Disrict 12",Pam Little,476,122,339
320 - SQL,614,"Member, State Board of Education, Disrict 12",Alex Cornwallis,106,37,65
320 - SQL,614,"Member, State Board of Education, Disrict 12",Christy Mowrey,16,5,11
